Date           Open    High    Low     Close   AdjCl   Volume
Oct 05, 2020   262.20   264.87   260.84   264.65   264.65   12776700
Oct 02, 2020   261.21   265.15   259.18   259.94   259.94   16367600
Oct 01, 2020   265.35   268.33   264.80   266.63   266.63   20009800
Sep 30, 2020   261.98   266.08   260.10   261.90   261.90   20105800
Sep 29, 2020   257.81   263.33   256.90   261.79   261.79   20200200
Sep 28, 2020   259.40   259.60   254.82   256.82   256.82   18826300
Sep 25, 2020   249.40   255.75   246.61   254.82   254.82   18351300
Sep 24, 2020   246.50   252.24   245.62   249.53   249.53   20006800
Sep 23, 2020   255.26   257.99   248.15   249.02   249.02   19641300
Sep 22, 2020   253.31   255.32   248.22   254.75   254.75   30293100
Sep 21, 2020   247.54   249.95   244.13   248.15   248.15   24709400
Sep 18, 2020   258.40   259.20   250.05   252.53   252.53   28130800
Sep 17, 2020   258.28   261.50   250.19   254.82   254.82   31281400
Sep 16, 2020   267.29   272.44   261.79   263.52   263.52   29183400
Sep 15, 2020   270.67   274.52   269.30   272.42   272.42   18478500
Sep 14, 2020   270.95   276.64   265.70   266.15   266.15   24093800
Sep 11, 2020   270.06   271.39   262.64   266.61   266.61   18913900
Sep 10, 2020   275.51   279.16   267.03   268.09   268.09   24814700
Sep 09, 2020   275.77   278.48   271.35   273.72   273.72   22918800
Sep 08, 2020   271.28   279.30   269.42   271.16   271.16   24864000
Sep 04, 2020   287.25   289.00   271.14   282.73   282.73   30333700
Sep 03, 2020   295.99   297.60   283.63   291.12   291.12   32294100
Sep 02, 2020   298.88   303.60   293.05   302.50   302.50   24341400
Sep 01, 2020   294.71   301.49   292.71   295.44   295.44   17320900
Aug 31, 2020   293.95   296.88   291.55   293.20   293.20   17345100
Aug 28, 2020   295.00   297.23   290.98   293.66   293.66   17172400
Aug 27, 2020   300.16   301.23   292.02   293.22   293.22   30301300
Aug 26, 2020   284.00   304.67   284.00   303.91   303.91   69015200
Aug 25, 2020   272.41   283.09   270.26   280.82   280.82   42127200
Aug 24, 2020   271.07   277.25   268.77   271.39   271.39   23685600
Aug 21, 2020   268.69   270.49   266.42   267.01   267.01   15538600
Aug 20, 2020   261.50   269.63   261.46   269.01   269.01   20299700
Aug 19, 2020   261.39   267.91   261.35   262.59   262.59   23291500
Aug 18, 2020   260.95   265.15   259.26   262.34   262.34   18690400
Aug 17, 2020   262.50   264.10   259.40   261.16   261.16   13351100
Aug 14, 2020   262.31   262.65   258.68   261.24   261.24   14792700
Aug 13, 2020   261.55   265.16   259.57   261.30   261.30   17374000
Aug 12, 2020   258.97   263.90   258.11   259.89   259.89   21428300
Aug 11, 2020   260.19   265.92   255.13   256.13   256.13   28238300
Aug 10, 2020   268.04   273.86   259.69   263.00   263.00   30248800
Aug 07, 2020   264.08   278.89   263.43   268.44   268.44   72735500
Aug 06, 2020   249.04   266.60   248.67   265.28   265.28   45241600
Aug 05, 2020   250.19   252.27   247.77   249.12   249.12   13088400
Aug 04, 2020   251.56   252.80   247.43   249.83   249.83   17183500
Aug 03, 2020   252.65   255.40   250.33   251.96   251.96   23124900
Jul 31, 2020   255.82   255.85   249.00   253.67   253.67   53030000
Jul 30, 2020   230.22   234.89   229.00   234.50   234.50   20615300
Jul 29, 2020   231.14   233.70   230.31   233.29   233.29   13588300
Jul 28, 2020   234.63   234.96   229.83   230.12   230.12   14170100
Jul 27, 2020   231.46   234.95   230.83   233.50   233.50   13163100
Jul 24, 2020   230.19   233.49   226.90   230.71   230.71   18325800
Jul 23, 2020   239.63   242.42   231.75   232.60   232.60   21771800
Jul 22, 2020   240.26   241.90   238.12   239.87   239.87   15427900
Jul 21, 2020   246.22   246.91   240.08   241.75   241.75   19409700
Jul 20, 2020   240.06   246.05   235.64   245.42   245.42   20872200
Jul 17, 2020   241.00   244.16   237.86   242.03   242.03   18152400
Jul 16, 2020   238.00   241.76   236.33   240.93   240.93   18880700
Jul 15, 2020   241.55   244.82   238.05   240.28   240.28   19133600
Jul 14, 2020   236.76   240.33   232.03   239.73   239.73   23378100
Jul 13, 2020   247.01   250.15   238.42   239.00   239.00   24674900
Jul 10, 2020   243.69   245.49   239.32   245.07   245.07   22982700
Jul 09, 2020   245.00   246.53   239.24   244.50   244.50   22174900
Jul 08, 2020   238.11   246.99   236.59   243.58   243.58   29791300
Jul 07, 2020   239.41   247.65   238.82   240.86   240.86   27887800
Jul 06, 2020   233.76   240.40   232.27   240.28   240.28   26206200
Jul 02, 2020   239.00   240.00   232.61   233.42   233.42   30633600
Jul 01, 2020   228.50   239.00   227.56   237.55   237.55   43399700
Jun 30, 2020   220.59   227.50   218.47   227.07   227.07   33927100
Jun 29, 2020   209.75   220.75   207.11   220.64   220.64   58514300
Jun 26, 2020   232.64   233.09   215.40   216.08   216.08   76343900
Jun 25, 2020   234.62   237.30   232.74   235.68   235.68   18704300
Jun 24, 2020   241.20   243.22   232.68   234.02   234.02   20834900
Jun 23, 2020   241.28   245.19   239.86   242.24   242.24   24017900
Jun 22, 2020   238.56   240.70   236.91   239.22   239.22   18917800
Jun 19, 2020   237.79   240.83   235.55   238.79   238.79   30081300
Jun 18, 2020   234.99   236.14   232.15   235.94   235.94   15782500
Jun 17, 2020   235.00   237.59   231.73   235.53   235.53   19552800
Jun 16, 2020   237.14   238.46   233.00   235.65   235.65   15236700
Jun 15, 2020   225.09   233.77   224.80   232.50   232.50   15340300
Jun 12, 2020   229.90   231.66   224.50   228.58   228.58   22071700
Jun 11, 2020   229.94   232.89   223.55   224.43   224.43   26708200
Jun 10, 2020   240.96   241.21   235.28   236.73   236.73   20720700
Jun 09, 2020   231.52   239.77   230.41   238.67   238.67   27462900
Jun 08, 2020   229.03   231.55   227.41   231.40   231.40   15466500
Jun 05, 2020   226.71   231.35   225.31   230.77   230.77   16750400
Jun 04, 2020   229.56   231.63   224.61   226.29   226.29   17041500
Jun 03, 2020   232.11   232.65   228.53   230.16   230.16   15380300
Jun 02, 2020   230.94   233.00   226.56   232.72   232.72   20919000
Jun 01, 2020   224.59   232.44   223.50   231.91   231.91   18223800
May 29, 2020   225.20   227.49   222.88   225.09   225.09   23322500
May 28, 2020   224.30   231.63   224.00   225.46   225.46   29377200
May 27, 2020   229.07   230.56   221.13   229.14   229.14   34697600
May 26, 2020   239.77   240.90   231.67   232.20   232.20   33178300
May 22, 2020   231.51   235.99   228.74   234.91   234.91   33925600
May 21, 2020   234.72   237.20   231.20   231.39   231.39   47782600
May 20, 2020   223.50   231.34   223.19   229.97   229.97   50162900
May 19, 2020   213.27   220.49   212.83   216.88   216.88   31843200
May 18, 2020   212.15   214.64   210.94   213.19   213.19   20167400
May 15, 2020   205.27   211.34   204.12   210.88   210.88   19383200
May 14, 2020   202.56   206.93   200.69   206.81   206.81   17178900
May 13, 2020   209.43   210.78   202.11   205.10   205.10   20684600
May 12, 2020   213.29   215.28   210.00   210.10   210.10   14704600
May 11, 2020   210.89   215.00   210.37   213.18   213.18   12911900
May 08, 2020   212.24   213.21   210.85   212.35   212.35   12524000
May 07, 2020   211.16   211.60   209.04   211.26   211.26   15152000
May 06, 2020   208.12   211.60   206.66   208.47   208.47   21857000
May 05, 2020   207.02   210.38   206.50   207.07   207.07   21071200
May 04, 2020   200.20   205.91   198.76   205.26   205.26   19250700
May 01, 2020   201.60   207.28   199.05   202.27   202.27   30415600
Apr 30, 2020   206.92   209.69   201.57   204.71   204.71   46173300
Apr 29, 2020   190.93   196.91   190.00   194.19   194.19   45954500
Apr 28, 2020   188.66   189.20   182.56   182.91   182.91   21731000
Apr 27, 2020   192.66   193.75   187.41   187.50   187.50   29197800
Apr 24, 2020   183.23   190.41   180.83   190.07   190.07   28868500
Apr 23, 2020   184.08   187.05   183.15   185.13   185.13   21426600
Apr 22, 2020   178.45   184.78   178.14   182.28   182.28   33369900
Apr 21, 2020   175.25   175.38   168.34   170.80   170.80   24850500
Apr 20, 2020   177.41   180.50   176.77   178.24   178.24   16110700
Apr 17, 2020   179.20   180.28   176.66   179.24   179.24   20974800
Apr 16, 2020   177.95   178.05   172.51   176.25   176.25   23593200
Apr 15, 2020   175.19   178.19   172.82   176.97   176.97   17423000
Apr 14, 2020   178.98   181.23   176.62   178.17   178.17   21011800
Apr 13, 2020   173.67   175.00   169.45   174.79   174.79   19355400
Apr 09, 2020   175.90   177.08   171.57   175.19   175.19   23534300
Apr 08, 2020   171.25   175.00   167.74   174.28   174.28   21664200
Apr 07, 2020   171.79   173.39   166.01   168.83   168.83   31411900
Apr 06, 2020   160.15   166.20   158.51   165.55   165.55   28420200
Apr 03, 2020   157.15   157.91   150.83   154.18   154.18   25983300
Apr 02, 2020   159.10   161.35   155.92   158.19   158.19   20886300
Apr 01, 2020   161.62   164.15   158.04   159.60   159.60   19507600
Mar 31, 2020   165.48   170.93   164.20   166.80   166.80   23676300
Mar 30, 2020   159.18   166.75   158.06   165.95   165.95   22515200
Mar 27, 2020   158.20   160.09   154.75   156.79   156.79   24879900
Mar 26, 2020   158.25   164.00   157.02   163.34   163.34   26556800
Mar 25, 2020   158.92   162.99   153.06   156.21   156.21   35184300
Mar 24, 2020   155.21   161.31   152.57   160.98   160.98   30440400
Mar 23, 2020   149.66   152.31   142.25   148.10   148.10   29830800
Mar 20, 2020   156.02   159.27   148.00   149.73   149.73   32568400
Mar 19, 2020   146.62   159.93   144.80   153.13   153.13   39862300
Mar 18, 2020   139.75   148.18   137.10   146.96   146.96   37553100
Mar 17, 2020   150.74   153.94   140.00   149.42   149.42   34255600
Mar 16, 2020   152.32   159.13   143.10   146.01   146.01   39120400
Mar 13, 2020   163.53   170.79   157.60   170.28   170.28   35028600
Mar 12, 2020   159.54   166.60   154.34   154.47   154.47   43266300
Mar 11, 2020   174.01   175.88   167.66   170.24   170.24   20373900
Mar 10, 2020   174.67   178.29   169.50   178.19   178.19   24517800
Mar 09, 2020   169.60   175.00   165.19   169.50   169.50   29949000
Mar 06, 2020   178.33   183.78   176.26   181.09   181.09   24559600
Mar 05, 2020   186.78   188.99   183.89   185.17   185.17   19333400
Mar 04, 2020   189.17   191.83   186.39   191.76   191.76   23062500
Mar 03, 2020   196.22   197.24   183.97   185.89   185.89   27984100
Mar 02, 2020   194.03   196.57   188.85   196.44   196.44   24949000
Feb 28, 2020   182.70   192.74   181.82   192.47   192.47   32583500
Feb 27, 2020   191.82   195.88   189.50   189.75   189.75   21682600
Feb 26, 2020   197.19   201.21   195.49   197.20   197.20   16524500
Feb 25, 2020   202.25   203.50   195.95   196.77   196.77   21433500
Feb 24, 2020   201.80   203.65   198.17   200.72   200.72   23080100
Feb 21, 2020   213.48   214.24   208.83   210.18   210.18   14092300
Feb 20, 2020   216.52   218.77   212.95   214.58   214.58   13109200
Feb 19, 2020   217.99   218.32   216.11   217.49   217.49   12135100
Feb 18, 2020   213.55   217.98   213.40   217.80   217.80   15609200
Feb 14, 2020   214.00   214.93   212.65   214.18   214.18   10741700
Feb 13, 2020   209.52   214.33   209.18   213.14   213.14   15396600
Feb 12, 2020   207.85   211.22   207.40   210.76   210.76   13813700
Feb 11, 2020   210.19   210.86   206.51   207.19   207.19   25030800
Feb 10, 2020   211.52   213.80   210.66   213.06   213.06   11856400
Feb 07, 2020   210.30   212.82   209.93   212.33   212.33   12242500
Feb 06, 2020   210.47   211.19   209.34   210.85   210.85   10567500
Feb 05, 2020   212.51   212.73   208.71   210.11   210.11   12538200
Feb 04, 2020   206.62   210.60   205.20   209.83   209.83   19628900
Feb 03, 2020   203.44   205.14   202.50   204.19   204.19   15510500
Jan 31, 2020   208.43   208.69   201.06   201.91   201.91   31359900
Jan 30, 2020   206.53   211.43   204.75   209.53   209.53   48775500
Jan 29, 2020   221.44   224.20   218.45   223.23   223.23   33181300
Jan 28, 2020   216.14   218.74   213.52   217.79   217.79   13413800
Jan 27, 2020   213.10   216.06   212.50   214.87   214.87   13810700
Jan 24, 2020   220.80   221.78   216.11   217.94   217.94   11905800
Jan 23, 2020   220.75   221.49   219.27   219.76   219.76   11195000
Jan 22, 2020   222.31   222.75   221.28   221.32   221.32   12212800
Jan 21, 2020   222.16   222.37   219.12   221.44   221.44   14275800
Jan 17, 2020   222.03   222.29   220.53   222.14   222.14   15905900
Jan 16, 2020   222.57   222.63   220.39   221.77   221.77   10015300
Jan 15, 2020   220.61   221.68   220.14   221.15   221.15   10036500
Jan 14, 2020   221.61   222.38   218.63   219.06   219.06   13288900
Jan 13, 2020   219.60   221.97   219.21   221.91   221.91   14463400
Jan 10, 2020   219.20   219.88   217.42   218.06   218.06   12119400
Jan 09, 2020   217.54   218.38   216.28   218.30   218.30   12642800
Jan 08, 2020   213.00   216.24   212.61   215.22   215.22   13475000
Jan 07, 2020   212.82   214.58   211.75   213.06   213.06   14912400
Jan 06, 2020   206.70   212.78   206.52   212.60   212.60   17058900
Jan 03, 2020   207.21   210.40   206.95   208.67   208.67   11188400
