Date           Open    High    Low     Close   AdjCl   Volume
Oct 01, 2020   123.94   124.57   122.87   123.92   123.92   1117300
Sep 30, 2020   122.08   124.42   121.30   122.71   122.71   1975800
Sep 29, 2020   125.32   126.36   118.01   121.38   121.38   2659400
Sep 28, 2020   125.86   126.34   123.98   125.37   125.37   838500
Sep 25, 2020   121.15   124.11   120.69   124.03   124.03   525100
Sep 24, 2020   119.57   122.27   119.25   121.30   121.30   586100
Sep 23, 2020   123.72   123.72   119.60   119.73   119.73   599200
Sep 22, 2020   122.11   123.35   120.26   123.32   123.32   822100
Sep 21, 2020   120.31   122.83   119.69   122.05   122.05   909900
Sep 18, 2020   125.00   125.49   121.79   122.45   122.45   1240500
Sep 17, 2020   125.44   125.44   123.59   124.44   124.44   869600
Sep 16, 2020   128.10   129.86   127.14   127.30   127.30   542000
Sep 15, 2020   128.01   128.89   127.29   128.16   128.16   374100
Sep 14, 2020   126.23   128.15   126.23   126.99   126.99   796000
Sep 11, 2020   126.08   126.80   124.74   125.70   125.70   551900
Sep 10, 2020   129.06   129.06   124.72   124.91   124.91   808200
Sep 09, 2020   128.21   129.92   127.01   129.19   128.70   654600
Sep 08, 2020   128.81   129.48   126.18   126.44   125.96   980700
Sep 04, 2020   134.10   134.14   128.60   130.29   129.80   742800
Sep 03, 2020   137.81   137.81   131.89   133.26   132.75   842400
Sep 02, 2020   135.32   137.94   135.00   137.28   136.76   761100
Sep 01, 2020   134.64   134.84   133.29   134.82   134.31   508700
Aug 31, 2020   132.53   135.11   132.13   134.42   133.91   1381700
Aug 28, 2020   132.62   132.62   131.43   131.84   131.34   428100
Aug 27, 2020   133.04   133.28   131.82   131.85   131.35   508600
Aug 26, 2020   130.41   133.58   130.21   132.54   132.04   645800
Aug 25, 2020   131.65   132.04   129.75   130.10   129.61   496800
Aug 24, 2020   130.29   131.69   129.69   131.58   131.08   692400
Aug 21, 2020   130.38   130.66   129.24   129.92   129.43   479900
Aug 20, 2020   129.46   131.47   129.46   130.46   129.97   517900
Aug 19, 2020   130.82   131.02   129.31   129.87   129.38   585800
Aug 18, 2020   130.29   130.81   129.33   130.05   129.56   578100
Aug 17, 2020   129.38   130.80   129.00   130.31   129.82   839100
Aug 14, 2020   130.07   130.63   128.71   129.24   128.75   678400
Aug 13, 2020   130.01   130.77   129.05   130.28   129.79   927000
Aug 12, 2020   131.15   133.05   130.24   130.42   129.93   1055900
Aug 11, 2020   132.00   132.29   130.12   130.47   129.98   587700
Aug 10, 2020   133.51   133.51   130.57   131.53   131.03   741000
Aug 07, 2020   129.84   132.88   129.61   132.87   132.37   727500
Aug 06, 2020   129.78   131.26   129.50   130.70   130.20   588900
Aug 05, 2020   130.30   130.47   129.04   130.36   129.87   580600
Aug 04, 2020   130.53   130.77   128.79   129.70   129.21   467700
Aug 03, 2020   131.84   132.39   129.95   130.35   129.86   508900
Jul 31, 2020   130.70   131.35   129.01   131.31   130.81   611900
Jul 30, 2020   129.61   130.38   128.67   129.90   129.41   552400
Jul 29, 2020   128.77   131.54   128.52   131.01   130.51   791900
Jul 28, 2020   129.56   129.96   127.40   128.15   127.66   704600
Jul 27, 2020   130.69   131.20   130.12   130.53   130.03   952500
Jul 24, 2020   131.29   131.39   129.05   130.56   130.06   898700
Jul 23, 2020   134.20   135.51   131.00   131.41   130.91   938100
Jul 22, 2020   133.01   135.32   131.55   134.10   133.59   1231200
Jul 21, 2020   130.69   131.85   129.49   131.01   130.51   933300
Jul 20, 2020   128.33   131.67   128.32   131.30   130.80   790100
Jul 17, 2020   127.70   129.15   127.22   128.44   127.95   748600
Jul 16, 2020   126.54   127.27   126.01   127.03   126.55   308100
Jul 15, 2020   126.00   127.36   125.08   126.84   126.36   534400
Jul 14, 2020   122.99   124.80   122.96   124.80   124.33   433600
Jul 13, 2020   124.02   126.22   122.94   123.00   122.53   619800
Jul 10, 2020   121.30   123.00   120.17   122.88   122.41   468800
Jul 09, 2020   122.27   122.50   119.21   120.80   120.34   563900
Jul 08, 2020   120.95   122.28   120.46   121.70   121.24   683000
Jul 07, 2020   120.26   121.79   119.76   120.47   120.01   463800
Jul 06, 2020   121.49   122.50   120.54   121.08   120.62   478800
Jul 02, 2020   122.58   123.12   120.00   120.06   119.60   756600
Jul 01, 2020   119.60   121.61   118.84   120.76   120.30   603000
Jun 30, 2020   116.83   119.98   116.45   119.47   119.02   629300
